QueryID,DocID,Score
Q0,CACM-1519,24.675558146425864
Q0,CACM-1605,23.10958822179235
Q0,CACM-1410,22.304559096858927
Q0,CACM-1033,22.268979953548868
Q0,CACM-1591,22.26014314415437
Q0,CACM-1506,21.96709574115664
Q0,CACM-1161,21.118322452777033
Q0,CACM-2319,20.876842314717717
Q0,CACM-0585,20.767042821996007
Q0,CACM-2947,20.67777343784212
Q0,CACM-2379,20.51589910967007
Q0,CACM-1698,20.510670970488185
Q0,CACM-1680,20.438498580324243
Q0,CACM-1938,20.269176495307473
Q0,CACM-2054,20.153239431622413
Q0,CACM-3048,20.149734775778306
Q0,CACM-1844,19.686373887492774
Q0,CACM-1750,19.639106058358067
Q0,CACM-1264,19.570812428197858
Q0,CACM-1523,19.42650792490038
Q0,CACM-3127,19.28497479354686
Q0,CACM-1544,19.178349881095745
Q0,CACM-3025,19.142394241688752
Q0,CACM-2371,19.071289332021443
Q0,CACM-2357,18.98674211514392
Q0,CACM-2380,18.925120355550643
Q0,CACM-1168,18.732898096087013
Q0,CACM-1315,18.402240445089255
Q0,CACM-2541,18.396201890763944
Q0,CACM-2535,18.294851124753098
Q0,CACM-1827,18.01281966662827
Q0,CACM-0637,17.79934817396734
Q0,CACM-2764,17.64894085942508
Q0,CACM-0698,17.59086529387077
Q0,CACM-1226,17.481895172775957
Q0,CACM-1657,17.477507089461398
Q0,CACM-1685,17.421603927999612
Q0,CACM-1885,17.41656616147815
Q0,CACM-1647,17.399183183883125
Q0,CACM-1236,17.39705856851978
Q0,CACM-2629,17.370448845651588
Q0,CACM-0971,17.367322967624528
Q0,CACM-2948,17.317254615559545
Q0,CACM-2740,17.290802051386024
Q0,CACM-0414,17.202739853643944
Q0,CACM-0252,17.041439531702387
Q0,CACM-2542,17.001244489146764
Q0,CACM-2424,16.86284423996517
Q0,CACM-1195,16.68683859395047
Q0,CACM-2681,16.52398426181938
Q0,CACM-2398,16.435484681260593
Q0,CACM-2950,16.412073784774755
Q0,CACM-2622,16.411516007491155
Q0,CACM-2624,16.32614503925383
Q0,CACM-2878,16.21006248699798
Q0,CACM-2219,16.182417149351146
Q0,CACM-1697,15.963576580048516
Q0,CACM-2560,15.934370690027913
Q0,CACM-1805,15.836922525547497
Q0,CACM-3137,15.8004821022045
Q0,CACM-2951,15.754936788156238
Q0,CACM-2201,15.730070418790058
Q0,CACM-2390,15.722106983648317
Q0,CACM-2188,15.71327800838053
Q0,CACM-1304,15.705933272143701
Q0,CACM-1173,15.703181348896303
Q0,CACM-2920,15.61984329072602
Q0,CACM-1179,15.60170907554608
Q0,CACM-2358,15.489431173083897
Q0,CACM-1341,15.484980407183116
Q0,CACM-1163,15.458557277933185
Q0,CACM-2003,15.426095587965875
Q0,CACM-2372,15.407724608801937
Q0,CACM-1472,15.358077936797896
Q0,CACM-1534,15.343688422592635
Q0,CACM-2378,15.239071774867154
Q0,CACM-0696,15.089098576264776
Q0,CACM-2288,15.034726938824969
Q0,CACM-2946,14.99108665279036
Q0,CACM-2917,14.966411489738807
Q0,CACM-2500,14.934371697589873
Q0,CACM-0972,14.871506843202127
Q0,CACM-2632,14.866838641048718
Q0,CACM-2153,14.70034696683953
Q0,CACM-1753,14.684588213979914
Q0,CACM-0202,14.68284160526594
Q0,CACM-2370,14.682039800171395
Q0,CACM-1747,14.660492649409937
Q0,CACM-3068,14.637259196371147
Q0,CACM-1542,14.56993560393321
Q0,CACM-1571,14.551220214928804
Q0,CACM-3089,14.519041976588547
Q0,CACM-1034,14.511573724590017
Q0,CACM-2536,14.446774310376632
Q0,CACM-2796,14.362001076706493
Q0,CACM-2344,14.336259422975036
Q0,CACM-1225,14.285890644611332
Q0,CACM-2184,14.202597392681223
Q0,CACM-3153,14.0760420389372
Q0,CACM-2841,13.995517945967359
Q1,CACM-0497,43.88036114305679
Q1,CACM-1931,43.83120347987612
Q1,CACM-3028,40.682133849287865
Q1,CACM-1519,39.192412313696835
Q1,CACM-3078,39.10845971777604
Q1,CACM-2039,39.045918132806015
Q1,CACM-1727,38.20502911673062
Q1,CACM-1821,38.13447862398449
Q1,CACM-1012,37.84181258626876
Q1,CACM-3057,37.55525952693297
Q1,CACM-2905,36.4117138989436
Q1,CACM-2219,35.908676625650386
Q1,CACM-0002,35.36309143909205
Q1,CACM-0526,35.04927944273653
Q1,CACM-2100,34.879655170928395
Q1,CACM-0204,34.8378817736013
Q1,CACM-0171,34.69343860835887
Q1,CACM-0760,34.58605848211513
Q1,CACM-0749,34.58605848211513
Q1,CACM-0648,34.58605848211513
Q1,CACM-2713,34.532583805588615
Q1,CACM-1343,34.408688748791185
Q1,CACM-1057,34.23312896482577
Q1,CACM-0225,34.059351566718284
Q1,CACM-0018,33.88732954782301
